"","Achillea_moschata","Adenostyles_leucophylla","Agrostis_rupestris","Agrostis_schraderiana","Antennaria_dioica","Anthoxanthum_odoratum","Arabis_alpina","Avenula_versicolor","Cardamine_bellidifolia","Cardamine_resedifolia","Carex_curvula","Carex_sempervirens","Cerastium_uniflorum","Epilobium_fleischeri","Erigeron_uniflorus","Euphrasia_minima","Festuca_halleri","Gnaphalium_supinum","Hieracium_angustifolium","Homogyne_alpina","Juncus_trifidus","Leontodon_helveticus","Leucanthemopsis_alpina","Linaria_alpina","Lotus_corniculatus","Luzula_alpinopilosa","Luzula_lutea","Luzula_spicata","Minuartia_recurva","Myosotis_alpestris","Oxyria_digyna","Pedicularis_kerneri","Phleum_rhaeticum","Phyteuma_hemisphaericum","Poa_alpina","Ranunculus_glacialis","Ranunculus_kuepferi","Saxifraga_aizoides","Saxifraga_bryoides","Senecio_incanus","Silene_acaulis","Trifolium_badium","Trifolium_pallescens","Tussilago_farfara","Veronica_bellidioides"
"X1",0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,2,3,0
"X2",1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,2,2,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,2,2,0,2,3,0,0
"X3",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,3,3,1,0
"X4",1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,1,2,0
"X5",0,2,2,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,2,1,2,0,0,0,0,0,2,0,1,0,3,1,0,0,2,1,1,3,2,3,0
"X6",0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,1,0,0,0
"X7",1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,2,0,2,0,1,0
"X8",0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,4,1,0,0
"X9",0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"X10",2,0,2,0,0,2,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,1,2,1,0,0,0,1,0,0,2,0,1,0,3,0,0,2,1,0,0,4,0,2,0
"X11",0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,1,2,0
"X12",0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,1,0
"X13",0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,0,0,2,1,0,0,1,1,1,0
"X14",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"X15",0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0
"X16",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"X17",0,1,2,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0
"X18",2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,2,3,0,0
"X19",1,0,0,0,1,4,0,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,1,3,2,0,0
"X20",2,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,3,0,0
"X21",0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,2,0,0,0,3,0,0
"X22",1,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,0
"X23",2,0,2,0,0,1,1,0,0,1,0,0,0,2,0,1,0,0,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,2,2,2,2,0,0
"X24",2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,2,0,2,2,0,0
"X25",0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,2,0,0,2,2,0,0
"X26",4,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,1,1,3,0,0
"X27",3,0,1,0,0,3,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,2,2,0,0
"X28",0,0,2,0,0,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,2,1,0,0
"X29",3,0,4,0,2,2,0,1,0,0,1,0,0,0,2,1,0,0,2,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,1,1,2,2,2,0,0
"X30",2,0,1,1,1,1,0,2,0,0,1,1,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,3,1,2,0,1
"X31",2,0,1,0,1,2,0,2,0,0,1,0,0,0,0,1,3,0,4,0,0,1,0,0,2,0,0,0,2,1,0,0,1,1,3,0,0,0,1,0,2,1,3,0,2
"X32",3,0,2,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,2,1,0,0,4,0,0
"X33",2,0,2,0,1,2,0,0,0,0,1,0,0,2,1,1,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,1,2,1,3,3,0,0
"X34",2,0,1,0,1,1,0,2,0,0,0,0,1,0,1,1,0,0,3,0,0,0,1,0,0,0,0,1,3,2,0,0,1,0,3,0,0,0,2,0,3,0,4,0,0
"X35",2,0,3,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,2,1,0,3,2,2,0
"X36",2,0,2,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0
"X37",2,0,2,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,2,2,0,0,2,0,0
"X38",2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,1,0,2,0,1
"X39",1,0,2,0,1,3,0,1,0,0,0,0,0,0,0,1,2,1,2,0,0,2,1,0,2,0,0,1,2,1,0,0,1,1,1,0,0,0,1,2,0,2,3,1,1
"X40",2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0
"X41",2,0,1,0,1,3,0,2,0,1,0,0,0,2,0,1,0,0,2,0,0,0,1,0,2,0,0,1,2,1,0,0,0,0,1,0,0,0,1,2,0,2,3,0,2
"X42",1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,5,0,2,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"X43",3,0,0,0,0,2,0,1,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0
"X44",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,1,3,1,2,2,0,0
"X45",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,3,0,0,0,1,0,2,1,2,0,0
"X46",1,0,0,0,2,1,0,2,0,0,1,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1
"X47",0,0,1,0,1,1,0,2,0,0,1,4,1,0,0,1,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"X48",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
"X49",3,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,1,0,2,0,0,1,1,2,0,0,0,0,3,2,1,1,0,0
"X50",0,0,0,0,0,2,0,2,0,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
"X51",0,0,0,0,0,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"X52",0,0,0,0,1,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0
"X53",0,0,1,0,2,2,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"X54",0,0,2,0,1,2,0,1,0,0,3,0,0,0,0,1,2,1,2,1,2,2,1,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,2,2,0,0,0,2
"X55",0,0,0,0,0,2,0,2,0,0,5,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"X56",0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,1,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"X57",0,0,2,0,0,2,0,2,0,0,2,3,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"X58",0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X59",0,0,1,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
